text ,label
"deceased went to the fields to serve tea to her parents who were
working in the fields as labourers. Around 5 PM deceased left for her
home. Her parents reached home at around 6PM and found that their
daughter had not returned till then. Therefore, Lal Singh (PW 12), his
wife left for the fields to look for their daughter. They found Dolu
(steel container), glasses (tumblers) and chappals of their daughter in
the field. They sent Parsa Ram who was with them to ask for a
tractor. Around mid night, in the tractor head light they found the
body of their daughter in the fields of one Sheo Ram with her salwar
removed. One part of the salwar was around her neck and the other
was stuffed to her mouth",murder
"the appellant came to the
Barber Saloon of Murthy Prasad, deceased, on 25.3.1996
at about 8 p.m. and demanded Rs.150/- from the
deceased. Since the deceased did not give the money
demanded, the accused got angry and threatened that he
would take care of him later. Appellant accused again
came back at 9.30 p.m. to the shop of the complainant,
sought shelter therein, had food, and slept there with
the deceased and the complainant. At about 2 a.m. the
complainant heard sounds and after being awaken he saw
that the appellant was hitting his elder brother with a
knife on the chest and on shouting of the complainant
the appellant hit him also with the same on the left
abdomen and hands and ran away. Murthy Prasad died of
 2
assault and the complainant got injured, and was taken
to the hospital for treatment.",murder
"in the midnight of 14/15.02.2007, the
appellant killed his mother by cutting her neck
and severing her head and thereafter fled from
the house with the head of his mother leaving
behind her body. The trial court, after
convicting the appellant under Sections 302 and
201 of the Indian Penal Code (for short â€˜IPCâ€™),
held that the appellant committed the murder of
his mother in an extremely brutal, grotesque,
diabolical and revolting manner and hence it is
one of those rarest of the rare cases calling for
a death sentence on the appellant",murder
"The contextual facts further depict that
 Kalu Singh (son of PW.1 Pratap Singh) along with
 his (Pratap Singhâ€™s) servant Kashi Ram were
 sleeping in a hut (topa - a leaves etc.) for
 guarding the crop. In the adjoining hut, Pratap
 Singh PW.1 along with his another servant PW.3
 Kalu Balai was sleeping. At about 11.30 p.m. all
 of a sudden he heard the sound of gun fire which
 awakened him and found that accused Mohan Singh
 s/o Babu Singh, Vijai Singh s/o Kishan Singh,
 Jugraj s/o Bhoor Singh, Ranjeet s/o Madan Singh
 and Iqbal s/o Allah Noor, all of them residents of
 Barodia armed with different arms assaulting his
 son Kalu Singh and servant Kashi Ram. He raised
 an alarm and gave a call to the villagers and also
 rushed towards the village by reason wherefor some
 of the villagers came to the spot. Seeing them,
 the accused persons fled away.",murder
"The prosecution case is that accused Nos. 1 and 2 got
 together and poured kerosene on deceased Venkatesan and set him
 on fire. Venkatesan suffered from serious burn injuries. He was
removed to the Hospital. On reaching the Hospital P.W. 7 Doctor
called in PW 6, Judicial Magistrate and a dying declaration was
duly recorded. In his dying declaration the deceased Venkatesan
stated that his wife and his brother accused 1 and 2 had poured
kerosene on him and had set fire to him.
 The incident took place on 16.2.1999 and Venkatesan died
on 19.2.1999.",murder
"On 5/6/2003 Trambak and all his family members as well as the guest
Bharat More were chitchatting after dinner and at about 10.30 p.m. seven to
eight unknown persons entered his hut and all of them were wearing banyan
and half pant and they started threatening the family members. They
demanded money as well as ornaments and Trambak took out Rs.3000/-
from his pocket and handed over to one of them. Some of the gang members
forcibly took away the mangalsutra as well as ear-tops and dorley from the
person of Vimalabai, ear-tops from the person of Savita and silver rings
which were around her feet. From the person of Manoj, they removed a silver
chain and a wrist watch. Thereafter they went out of the hut and consumed
liquor. After some time they re-entered the hut with weapons like knife, axe
handle, sickle, spade with handle and yokpin etc., to rob the house members
and collect more money and ornaments etc. They started beating the family
members and Trambak was the first person who received assault. Sandeep
and other members of the family told the dacoits to take away whatever they
could collect from the house, but no family members should be assaulted. At
this stage Sandeep was assaulted and so also Shrikant @ Bhurya, Bharat and
Manoj. The dacoits did not spare Vimalabai as well. They tied hands and legs
of all the family members except Manoj and Vimalabai. As a result of assault
Manoj, Trambak, Sandeep, Shrikant and Bharat became unconscious. Three
of the dacoits dragged Savita out of the hut and took her to the guava garden.
Two of the dacoits then picked up Vimalabai and dragged her towards the
well. One of them raped her near the well and then she was taken to the
guava garden where Savita was taken. Vimalabai was assaulted and brought
back to the hut. After some time, the three dacoits brought Savita back in
naked condition and with injuries on her body. When the dacoits had
entered the hut at about 10.30 p.m. the light bulb in the hut was burning and
TV was on. The dacoits increased the volume of the tape recorder and after
they dropped Savita in the hut, they put on shoes and started walking on the
persons lying injured and they thought that all of them were dead. Vimalabai
(PW 8) lost her consciousness around 12 Oâ€™Clock in the night and till then
the dacoits were present in the hut and they left the hut under the belief that
all of the victims were dead. However, Manoj (PW1) and his mother
Vimalabai (PW 8) survived. They are the eye witnesses to the prosecution
case. On the basis of information given, investigation was undertaken.",murder
"he occurrence took place on 6th July, 1993 at about
4 p.m. The deceased was a lady named Keshrabai. She
and her
 ...2/-
 - 2 -
daughter -Annubai (P.W.1) aged about 15 years at the
relevant time were in their house. The appellant herein and
three others entered into their house armed with axe,
phaliya, lathies bow & arrows etc. Eight other persons had
surrounded the entire house. They were also armed with
deadly weapons. Allegedly, Badri assaulted the deceased.
Indisputably, the deceased suffered as many as eight injuries
as would appear from the deposition made
by Doctor R.C.Hanotiya- P.W.11 who had conducted the
postmortem examination on the dead body of the deceasedKesharbai on 8.7.1993. He found the following injuries on
the person of the dead body:
 ""....incised wound on the back side of the right elbow
left side of the stomach, right side of the chest, on the front of
the head and behind the head and found her neck
completely cut off....""",murder
"Saroja was the second wife of PW2, the appellantâ€™s
 father and, therefore, the step mother of the
 appellant. PW5 was the appellantâ€™s step sister
 having been born out of the marriage of PW2 and
 the deceased whereas PW3 was the husband of PW5.
 All the persons aforementioned were residents of
 village Thuluvaspushpagiri and were agriculturists
 by profession. PW2 had lost his first wife, the
 mother of the appellant, about 22 years prior to
 the date of the incident, and one year after her
 death PW2 had married the deceased Saroja. It
 appears that Saroja was a lady of easy virtue and
 3
 was involved with several persons in the village
 which had annoyed the appellant and he often asked
 her to behave in a dignified way. The deceased,
 however, told the appellant that it is not his
 business to interfere in her affairs as she was an
 independent person and entitled to live her life
 as she pleased. Sarojaâ€™s affairs, however,
 continued to rankle the appellant.
3. At about 9 a.m. on 19th March 2000, PW5 and the
 deceased went to the field to perform their daily
 agricultural operations. At about 11 a.m. the
 appellant also arrived at that place and called
 out to the deceased to help him lift a bundle of
 firewood. The deceased walked towards the
 appellant and both of them went into the sugarcane
 field. A short while later the appellant alone
 returned and when questioned by PW5 told him that
 he had strangled and killed Saroja. The appellant
 also appeared before PW1 the Village
 Administrative Officer at 4 p.m. and made an extra
 judicial confession that he had murdered his step
 mother. ",murder
" on 6 th
January, 1992, Hira Singh Gond (ComplainantÃ¢Â¬ PW 7)
lodged an FIR at Bahri Police Station, Sidhi District stating
that his brother Mangal Singh had gone to the fields to
answer natureÃ¢Â¬ ""!s call, when Baliraj Singh (A1 & Appellant
herein) and Baijnath Singh (A2) attacked him (Mangal
Singh) with lathis causing instantaneous death of Mangal
Singh. Accordingly police registered Crime No. 5/92
against the accused, body of the deceased was sent for
postmortem examination, lathis allegedly used in the
crime were seized at the instance of the accused and
charges were framed against them under Section 302/34,
IPC to which the accused pleaded not guilty and claimed
trial.",murder
" Gouri was found to go to the Hat along with the
 accused Banamali @ Bana.
 (II) The accused Banamali had returned from the hat
 towards the evening, but Gouri had not.
 (III) On enquiry to the accused by PW.4 and PW.5 the
 mother and elder brother of Gouri respectively, the
 accused told them that Gouri had been talking with
 someone and that she would come back within a short
 time, but she did not.
 (IV) The accused had fled away from the house on the
 day following the day on which Gouri accompanied by
 him had been to the hat and he was not found on
 search.
 (V) There stands Bhunia jungle on the way to the hat
 from the house of Gouri.
 (VI) Recovery of long black hairs, torn pieces of
 Sari, blouse and saya eaten up by white-ants, one key,
 one 20 paise tied in the outskirts of the sari, one
 human skull with seven teeth on the upper jaw and four
 teeth on the lower jaw and 28 pieces of human bones of
 -2-
 different sizes from Bhunia jungle by PW.19 Bhabesh
 Chandra Maitra, the Ist I.O. of this case, who had
 gone to Bhunia jungle being accompanied by Gayaprasad
 Nayek, the elder brother of Gouri, the recovery of one
 polythene bag containing a phial of oil from Bhunia
 Jungle as per the statement of the accused and on
 being led and pointed out by him after he had been
 arrested on 30.8.86 at 19.05 hours.
 (VII) The extra-judicial confession of the accused
 regarding the murder of Gouri by him before PW.5 Gaya
 Prasad Nayek, the elder brother of Gouri and others
 after the accused had been found by them.""",murder
"Mohan Lal Sahu
 when returned at his home at about 6 P.M. on 25th January,
 1999, he found that his grand daughter (daughter of his
 late daughter) Jyoti aged about 6 years was not present in
 the house. He enquired about her from his daughter-in-law
 and other persons. He was informed that she had gone to
 visit cinema alongwith the accused. Accused Bantu @ Naresh
 Giri, however, after some time went at the residence of
 PW-1 and enquired about whereabouts of Jyoti. It is
 alleged that accused stated that he did not know anything
 about Jyoti and he had not taken her alongwith him for
 visiting cinema. Thereafter, PW-1 and other family members
 and residents of the locality started searching Jyoti. As
 Jyoti was not found, report was lodged at the police
 station. Subsequently dead body of the deceased was
 noticed by PW-13 Sanjay Dube who was also neighbour of
 PW-1. The dead body was found lying in the bushes standing
 across the railway line. He noticed that underwear of the
 deceased was lying near the dead body and that there were
 ...3.
.PA
 - 3 -
 blood stains and tooth mark on her cheek. He thereafter
 informed at the police station. On the basis of the said
 information investigating officer carried out necessary
 investigation. After recording the statement of the
 accused alongwith other person named Balu @ Balram Goswami
 was tried and convicted as stated above. Other accused was
 acquitted by the Addl.Sessions Judge. The Sessions court
 relied on the evidence of PW-6 Vimla, daughter-in-law of
 PW-1, PW-4 Ravi, nephew of PW-1 and PW-5 child witness and
 held that deceased had gone with the accused after coming
 from the school. Thereafter, her dead body was found the
 next day at 9 a.m. During the aforesaid evidence as well
 as medical evidence the court also considered the evidence
 of PW-8 Dr.Smt. S.Thakur who carried out post mortem
 examination. She has noticed that deceased was in a school
 uniform. She has also stated and three doctors who had
 examined the dead body, arrived at the conclusion that rape
 had been committed and the murder of the deceased was
 comitted by pressing her nose and mouth and obstructing
 ...5.
.PA
 - 5 -
 breath of the deceased. The doctor PW-9 A.P.Dwivedi had
 examined the accused and he noticed that there was a thin
 mark of scratch on the upper portion of penis. The Court
 also considered the evidence of PW-10 Manju who had stated
 that at about 3-4 p.m. when he was sitting on the ghat of
 a river he saw accused Bantu going with a girl aged about
 5-6 years and the girl was wearing school uniform.
 Considering the aforesaid circumstances the High Court as
 well as Sessions Judge arrived at the conclusion that the
 prosecution has proved his case beyond reasonable doubt and
 convicted the accused for the offence punishable under
 Sections 302 and 376 of Indian Penal Code.",murder
"Pallavi, aged two and half years, was the daughter
of the appellant Beere Gowda and his first wife Jayanthi
Gowda. The marriage between the appellant and Jayanthi had
taken place about five or six years earlier. It appears
that at the time of the marriage Jayanthi was pregnant but
after some time the two fell out and the appellant left
her in her parentsâ€™ home promising to take her back after
performing the marriage of his sister. A few days later
however he performed a marriage with Indramma co-accused,
since acquitted. After the marriage of the appellant and
Indramma the relations between the appellant and Jayanthi
became unpleasant and Jayanthi was often assaulted and was
made to do all the household chores and was also compelled
to undergo a Family Planning Operation at
 -2-
Kalsapura P.H.C., as the appellant apparently did not want
to have any child from her. It is the case of the
prosecution that as Pallavi was an unwanted child, the two
accused, thought it fit to get rid of her so that she
could not claim any share in her fatherâ€™s property. The
appellant accordingly obtained nitric & sulphuric acid from
PW.16 Ranganatha-Chari, a goldsmith, and it is further the
prosecution case that this was administered to Pallavi on
22nd September 1996 which ultimately led to her death. ",murder
"The marriage of accused
Bhausaheb with deceased Janabai
took place in 1985, thereafter
victim was ill-treated by the
accused, finds support from the
statement of prosecution
witnesses.
(ii) Deceased was last seen in
the company of accused Bhausaheb
by P.W. 4 Jijabai and thereafter,
deceased Janabai did not return
from the field.
(iii) When the complainant went
to the field of accused to
enquire about whereabouts of
Janabai along with his brother,
accused Bhausaheb gave evasive
answers and told the complainant
that victim has not come to the
field.
(iv) The dead body of the
deceased was recovered at the
instance of accused Bhausaheb,
discovery panchanama was duly
proved by P.W.8 and P.W.1,
therefore, the chain of
circumstance is complete, which
leads only to one conclusion that
accused Bhausaheb committed
3
murder of his wife and to cause
disappearance of the dead body,
he covered that dead body in
Chadder and concealed near
hillock in his field and at his
instance the dead-body was
recovered.â€",murder
" on the intervening night between 20th and 21st Mar
ch, 1996 A1 to A3, who had entertained some grievance against the deceased for not helping the
m in some land dispute, attacked the deceased while he was sleeping outside his house and caus
ed nearly 25 injuries consequent to which the deceased died. The incident in
question was seen by PW.2 and PW.3, being the wife and son-in-law respectively of the deceased
 who were awakened by the cry of the deceased. These witnesses stated before the court that th
ey were able to identify the appellant as they are known to him, because he was residing in th
e vicinity of their house. The courts below have accepted the evidence of these two witnesses
 and based conviction on their evidence.
Learned counsel appearing for the appellant, however, contended before us that PW.2 in her sta
tement before the police which is on record as Exh.D.1 had stated that the accused persons had
 run away when she came to the scene of the incident therefore there is an improvement in her
evidence, and PW.3 as per Exh.D2 had stated before the police that at the time of the
incident he and other family members were
....3/-
: 3 :
sleeping inside the house whereas in his evidence he had stated that they were sleeping in the
 Varandah hence there is a serious contradiction and improvement in his statement before the
Court hence should not be believed. This argument was not raised before the courts below. Be
 that as it may, we consider that there is hardly any improvement in the statement as per D1 a
nd D2 in their statements before the court. As per PW.1â€™s statement before the police she had
stated that when she came near his husband accused persons ran away, whereas in the statement
before the investigating officer she had stated that when she came out on seeing the attack on
 her husband, on seeing these witnesses all the accused ran away. This is hardly any improv
ement in the fact is that this witness had seen A1 and identified him be it while attacking or
 running away thereafter. PW.3 who as per D2 allegedly stated before the investigating officer
 that at the time of incident he was sleeping inside the house and in his evidence he had sta
ted that he was sleeping in the Varandah. We find hardly difference in these two statements al
so because it is the statement of this witness he was sleeping separately from his father
and
......4/-
: 4 :
woke up when he heard the cries, therefore, the fact that he was sleeping inside the house or
in the Varandah would not create any doubt in his evidence. In the said view of the matter, w
e find no reason to interfere with the impugned judgments of the courts below. The appeal fai
ls and the same is dismissed.",murder
"e at 2.00 p.m. on the same
day wherein it was alleged by complainant Brij Nandan Jaiswal that his son alongwith
Bechan and Balmukund went to cut woods in the forest and while they were coming back
from the forest on bicycles, Brij Nandan and Bal Mukund were leading while
complainantâ€™s son Jai Shankar was following them. When they all reached Jabelia Mode,
Jai Shankar shouted very loudly. At that time, the complainant and his companions saw
that Jai Shankar was being inflicted blows with lathis, danda and iron rods by Lalji and
his son Kallu @ Vinod, Munnu @ Munna and one other unknown person. On seeing the
complainant party, all the four ran away towards forest threatening the complainant and
his companions. While Jai Shankar was being taken for treatment, he died at about 3.00
 4
p.m. The three accused persons were taken into custody between 03.01.2007 to
05.01.2007. Investigation proceeded during which the lathi was discovered. It was
found that the accused had assaulted the complainantâ€™s family twice and even those cases
were pending and charge sheets were filed in those cases. Apart from that, the accused
Munna was also involved in a gambling case. The post-mortem report showed that the
deceased had sustained several injuries and that Jai Shankar had died due to hemorrhage
and resultant shock.",murder
"The allegation is that on 30.7.1995 at about 4 p.m.
deceased Surendra Singh was standing in front of house of
PW5 Nagru Kharia when accused Balchand Singh pushed him
down and accused Buddhu Singh is said to have then dealt
an axe blow which landed on the head of the deceased.
Accused Ledwa Singh is, thereafter, said to have started
kicking the deceased. It is reported that on account of
that blow, Sugendra Singh was seriously injured and died
in the hospital.",murder
"On 10.08.1986, at about 3.00 p.m., there was a quarrel
between Laxmichand @ Balbutya - the accused and Gyaniram Mahajan -
the deceased, who was in drunken state, at the house of the accused.
The appellant-accused asked Gyaniram to go home but he was not
acceding to his request. The accused brought Gyaniram from his
 1
house on the road by lifting him but he fell down. The accused
struck him with a spade on his head. As a result, Gyaniram
sustained injury on his head and had become unconscious. The
accused proceeded towards the house of one Police Patel. While
going there, he made disclosure to some persons that he had killed
Gyaniram Mahajan. One Ghanshyam, who was in the employment of
Fulchand and who had heard the utterances of the accused to the
above effect, informed Tejram (PW-2) who was sitting in
the house of Fulchand that the appellant-accused was telling that he
had killed Gyaniram. Tejram went towards the Gram Panchayat. The
accused was coming from the side of the house of Police Patel. He
again made similar utterances and informed Tejram that he had killed
Gyaniram and further asked him to scribe a report. ",murder
"on 1st January, 1993
when the appellant entered the house of the deceased Sule
Bai at about 11 pm and attempted to outrage her modesty and
when she objected to his behavior he took out a matchbox
from his pocket, lighted a matchstick and then threw it on
her saree which caught fire causing 37% burn injuries. On
hearing Sule Baiâ€™s cries several persons came to the spot
and they extinguished the fire using water. A meeting was
also convened in the village the very next morning and the
appellant was directed to make arrangements for medical aid
to the victim, but he did not make any effort in that
direction till the 5th January, 1993. As a consequence, the
injuries suffered by her and complicated by the lack of
medical care, Sule Bai ultimately died one month and 18 days
after the incident. It has accordingly been argued by Mr.K.
Priyadarshi, the learned counsel for the appellant, that no
 ..2/-
 : 2 :
case under Section 302 IPC was made against him and that the
matter would fall within Section 304 (I) of the IPC as he
had only thrown a lighted match stick at her, which act did
not constitute an intention to commit murder. He has also
pointed out that the appellant was unaware of the fact that
the victim was wearing garments of inflammable material. The
prosecution story, however, is that a meeting had been
convened on the morning of the 2nd January, 1993, in which
the appellant had undertaken to provide complete medical aid
to Sule Bai but as per the evidence, no aid was provided by
him till the 5th January, 1993. It is, therefore, obvious
that the intention of the appellant that the victim should
die was writ large in the facts of the case. The argument
that the matter would fall under Section 304 (1) IPC, thus,
cannot be accepted.",murder
"On 6th March, 1995 Mandal elections were to be held
in village Gadiparthivaripalem. Two of the candidates
contesting the election were the deceased Soodidela
Satyanarayana Reddy and Mandap Venkateswarlu, one of the
accused (A.6).
 At about 7.00 a.m. the deceased was standing along
with PW.1 his nephew, Soodidela Bapireddy, in front of the
polling station, when all the accused, 20 in number, armed
with lethal weapons such as axes, knives, sticks and stones
attacked him. A.1 Kotesswara caught hold of the deceased
by his hair and gave two blows with a stone on his forehead
and also stabbed him with a knife on his chest, A.2
Hanumantha Rao and A.3 Krishniah who were both armed with
axes caused injuries on the back of the head of the
deceased whereafter A.1 again stabbed the deceased on his
shoulder.
 -2-
On receipt of the injuries the deceased fell to the ground.
The accident was witnessed by Pw.1 and in addition by PW.5-
Pambha Soubhagyamma, a vegetable hawker. PW.1 raised an
alarm whereupon PW.6 and PW.7, Soodidela Subbamma and
Soodidela Vijaylakshmi, rushed and found that the victim
was bleeding from serious injuries. They attempted to
move him towards his house but he passed away after a short
while. ",murder
"On the 26th February, 1989, police station Nand Nagri,
 Delhi, received information that a dead body was lying near
 the brick kiln in village Simhauli. S.I. Tara Dutt - P.W. 1
 accompanied by Constable Naresh went to the spot and
 recovered the blood stained dead body of a man who looked
 to be between 60 and 65 years of age. He prepared a ruqa
 Exhibit 1/A and on its basis a First Information Report for
 murder was recorded at the police station. A search of the
 pocket of the jacket worn by the deceased revealed his name
 and address as Kalu Ram Bhagat, resident of Trilokpuri.
 ASI Tara Dutt, accordingly, contacted the family members of
 Kalu Ram Bahgat who identified the dead body as that of
 their relative. The dead body was sent for its post mortem
 and it was found to have three incised wounds, four
 lacerated wounds, and one superficial cut near the left
 ear. The very next day i.e. on 27th February, 1989
 information was received in Police Station Khekra, District
 Meerut, U.P. that a dead body was lying on the banks of the
 river Yamuna near village Sudanpur. The body was,
 accordingly, recovered and was also sent for a post mortem
Crl.A. No. 1423 of 2010
 4
 which revealed one incised wound on the neck which had led
 to the death of the deceased. ",murder
"Gopal Prasad Gupta deceased aged about 18
 years went out of his house at about 6 p.m. on 7th
 June 1982 and when he did not return till dinner
 time, his family members went in search for him
 but he could not be found. The search continued
 the next morning as well though without success.
 At about 2 p.m. on 8th June 1982 Murtaza Khan
 PW22 informed the family that Gopal Prasad
 Guptaâ€™s dead body was lying in a ditch near
 village Chhekabadh on which PW20 Jagdish
 Prasad Gupta, the uncle of the deceased lodged a
 FIR at about 2.30 p.m. stating, inter-alia, that at
 about 6 p.m. on the 7th of June 1982 the
 deceased had been seen with Raghunath Sah and
 his son Bhushan Sah near the wooden bridge.
 During the course of the investigation, the
 accused were arrested and on their disclosure
 statements, a blood stained axe and a sickle
 allegedly used in the murder on 8th of September
 1982 were recovered from a water filled pond.
 The police also conducted a raid at the houses of
 the four accused and a blood stained ganji, a
 spade and a bucket were recovered from the
 house of Bhushan Sah and Raghunth Sah. The
 statement of Dasrath Sah was also recorded
 under Section 164 of the Cr.P.C. by Judicial
 Magistrate, B.K. Singh PW11. On the completion
 of the investigation, the accused were charged as
 already indicated above.",murder
